	MCL1	Ceramide	sFas	Apoptosis	BID	S1P	Caspase	FLIP	IFNG	TCR	SMAD	P2	DISC	CREB	Fas	CTLA4	GPCR	IAP
E42_231	0.9811587904302322	0.0237029371054015	0.0329656554291377	1.0218714851792443	0.994252287863255	1.6288633619427793	0.0379456496591087	1.3026814417324766	0.9929389004103896	0.90499389747216	0.0275538539513041	0.0061001844506306	0.0032032858508031	0.0050995114641191	0.8751232201655526	0.0862844754122627	0.0068816645007967	1.211940962300799
E43_341	3.626025182413943e-06	0.0013344179654027	0.0034866956795626	2.4572909128255644	0.0001960141564527	0.0503064665966932	0.0126159979415324	0.0113167697327603	0.0226908295673543	0.0043717851995001	0.0051973704480199	5.230228049913859e-06	0.006449433907256	0.0031147608853625	0.0503148339760329	0.0205960715853652	0.0762701867644465	0.0980672919136982
E44_218	0.0160360104862615	0.0077626356599441	0.0412972383110235	2.027057609154185	0.0307265704086422	5.19701705414201e-05	0.0014872332594753	0.1681547111633275	0.0026192898532773	0.0507212079968294	0.0140017453234712	0.0072661668999214	0.0077730056559156	0.0112081938743152	0.0954919398169776	0.0033468617558903	0.0079698461658057	0.0086693555282996
E45_631	0.0331810510156665	0.072408665910228	0.0088225354624356	2.4152435494871667	0.0167232712838396	0.0037175512133623	0.0094918900589563	0.007092942146723	0.0116301674178109	9.214635577706534e-05	0.0096129952091163	0.1293605804640974	0.0414716875572562	0.0132108035368308	0.0203188987532189	0.0047082056971293	0.0045217761447577	0.0026034434740631
E46_168	1.0767140918120015	0.8661479729276345	0.7034131022543803	0.7177123995602924	0.8244797711247152	0.2027521563766589	1.3500503049024752	0.4813522154628394	2.24110940014756	0.0055689810269293	0.0159297330363552	0.600013468654729	1.4248554240396856	0.592342584285917	1.6681160074286947	0.7081596445489805	0.7330492334568934	0.2023806713495471
E47_415	0.0229348160486808	0.003634213863652	0.0247724092440063	1.9517518165402552	0.0958817380916543	0.0321047291843657	0.0290981329851629	0.015433319240361	0.0012170383980974	0.0547054503282846	0.0086686666314949	0.0373412926581664	0.0014085502860591	0.1026643925859801	0.0323913767758915	0.0113974213343938	0.0304246761997344	0.0948504182606464
E48_752	0.0117536066797022	0.0032460179548965	0.0266652654241353	2.060872453798204	0.0057491865467549	0.0115021844999425	0.0010655456107218	0.0103896751704534	0.0137014869701319	0.0006999216055475	0.0203451184812762	8.161558995763585e-05	0.0187622498213714	0.0282559163387805	0.0119196497256607	0.0243450092846919	0.000573738805329	0.0012433165850653
E49_284	0.0195140295290408	0.0010413507812096	0.0162658872917189	2.2603748390513645	0.0296113302561963	0.0417782201928116	0.002420486712772	0.0075124717601668	0.0014295247253841	0.006910105004211	0.0057402728373995	0.0030366903607347	0.0044888591010916	0.006449606443425	0.0019089144717776	0.0032597403446551	0.0415878097850582	0.0478150427389274
E50_1	1.0327791426567567	0.8086685998060477	0.8499187763326276	1.0171817849547091	0.9185344836744074	0.9274822294955108	0.875762669010932	0.892180936719055	0.7999039988835106	1.0541277016105928	0.9542789947402706	1.1061283986444264	0.8622658637791469	1.0221957102550243	0.8918606719981493	0.9474404005922455	0.7835105491751366	1.1033145107710014
E51_603	0.0024067628354951	0.0055986843709303	0.0574667588951707	1.7419891505958784	0.035072271360917	0.0424537762807235	0.0562924519092814	0.0216444564687595	0.0168858994286541	0.0224437637588166	0.0046457175165668	0.0229932117508856	0.0145997594392178	0.0511095867227363	0.0175867862859511	0.024777252788572	0.0078531230694726	0.0253713602398403
E52_559	0.1137959491956672	0.0102897888596	0.0150652381689235	2.059523078643414	0.0267044337401133	0.0181526677068559	0.0274978352585289	0.017729965586578	0.0410983649310202	0.0458914967771746	0.0003069391728054	0.002463719969996	0.0133365760078386	0.0072805471531405	0.0064687915352378	0.0105545487137563	0.0032018515590096	0.0191639396596483
E53_336	0.0186238691455291	0.0065032600859118	0.0300167428813643	1.7231381636441965	0.0075284141180995	0.0122251225008352	0.0057305775731517	0.0009353038791661	0.0136877566607938	0.0207210970053626	0.004666363898343	0.0027831189416239	0.0074197377910954	0.0032722457830549	0.0488441330636662	0.0019805648309466	0.0139147583669393	0.0223300007178243
